-------------------------------------------------------------------------------
Interface  Vsan   Admin  Admin   Status       SFP    Oper  Oper   Port
                  Mode   Trunk                       Mode  Speed  Channel
                         Mode                              (Gbps)
-------------------------------------------------------------------------------
fc3/1      3      FX     on      notConnected swl    --    --     --
fc3/2      3      FX     off     up           swl   F      8      --
fc3/3      1      E      on      trunking     swl   TE     4      21
fc3/4      3      FX     off     up           swl   F      8      --
fc3/5      1      FX     on      down         swl    --    --     --
fc3/6      1      E      on      trunking     swl   TE     4      21
fc3/7      1      E      on      trunking     swl   TE     4      23
fc3/8      3      FX     off     up           swl   F      8      --
fc3/9      3      FX     off     up           swl   F      8      --
fc3/10     1      E      on      trunking     swl   TE     4      21
fc3/11     11     FX     off     up           swl   F      8      --
fc3/12     1      FX     on      notConnected swl    --    --     --
fc3/13     1      FX     on      down         swl    --    --     --
fc3/14     1      E      on      trunking     swl   TE     4      21
fc3/15     1      FX     on      down         swl    --    --     --
fc3/16     1      E      on      trunking     swl   TE     4      23
fc3/17     11     FX     off     up           swl   F      8      --
fc3/18     1      E      on      trunking     swl   TE     4      23
fc3/19     3      FX     off     up           swl   F      8      --
fc3/20     1      E      on      trunking     swl   TE     4      23
fc3/21     1      FX     on      down         swl    --    --     --
fc3/22     1      E      on      trunking     swl   TE     4      23
fc3/23     1      FX     on      down         swl    --    --     --
fc3/24     1      E      on      trunking     swl   TE     4      23
fc3/25     3      FX     off     up           swl   F      8      --
fc3/26     3      FX     off     up           swl   F      8      --
fc3/27     3      FX     off     up           swl   F      8      --
fc3/28     3      FX     off     up           swl   F      8      --
fc3/29     3      FX     off     up           swl   F      8      --
fc3/30     11     FX     off     up           swl   F      8      --
fc3/31     3      FX     off     up           swl   F      8      --
fc3/32     3      FX     off     up           swl   F      8      --
fc3/33     3      FX     off     up           swl   F      8      --
fc3/34     3      FX     off     up           swl   F      8      --
fc3/35     1      E      on      trunking     swl   TE     4      21
fc3/36     11     FX     off     up           swl   F      8      --
fc3/37     3      FX     off     up           swl   F      8      --
fc3/38     3      FX     off     up           swl   F      8      --
fc3/39     3      FX     off     up           swl   F      8      --
fc3/40     3      FX     off     up           swl   F      8      --
fc3/41     3      FX     off     up           swl   F      8      --
fc3/42     11     FX     off     up           swl   F      8      --
fc3/43     3      FX     off     up           swl   F      8      --
fc3/44     3      FX     off     up           swl   F      8      --
fc3/45     3      FX     off     up           swl   F      8      --
fc3/46     3      FX     off     up           swl   F      8      --
fc3/47     1      E      on      trunking     swl   TE     4      21
fc3/48     11     FX     off     up           swl   F      8      --
fc4/1      1      E      on      trunking     swl   TE     4      21
fc4/2      3      FX     off     up           swl   F      8      --
fc4/3      1      FX     on      down         swl    --    --     --
fc4/4      3      FX     off     up           swl   F      8      --
fc4/5      1      FX     on      down         swl    --    --     --
fc4/6      1      FX     on      down         swl    --    --     --
fc4/7      1      FX     on      down         swl    --    --     --
fc4/8      3      FX     off     up           swl   F      8      --
fc4/9      3      FX     off     up           swl   F      8      --
fc4/10     1      E      on      trunking     swl   TE     4      23
fc4/11     1      FX     on      down         swl    --    --     --
fc4/12     1      FX     on      notConnected swl    --    --     --
fc4/13     1      FX     on      down         swl    --    --     --
fc4/14     1      FX     on      down         swl    --    --     --
fc4/15     1      FX     on      down         swl    --    --     --
fc4/16     1      FX     on      notConnected swl    --    --     --
fc4/17     1      FX     on      down         swl    --    --     --
fc4/18     1      E      on      trunking     swl   TE     4      21
fc4/19     3      FX     off     up           swl   F      8      --
fc4/20     1      FX     on      down         swl    --    --     --
fc4/21     1      FX     on      down         swl    --    --     --
fc4/22     1      FX     on      down         swl    --    --     --
fc4/23     1      FX     on      down         swl    --    --     --
fc4/24     1      E      on      trunking     swl   TE     4      23
fc4/25     3      FX     off     up           swl   F      8      --
fc4/26     3      FX     off     up           swl   F      8      --
fc4/27     1      E      on      trunking     swl   TE     4      21
fc4/28     11     FX     off     up           swl   F      8      --
fc4/29     1      E      on      trunking     swl   TE     4      21
fc4/30     11     FX     off     up           swl   F      8      --
fc4/31     1      E      on      trunking     swl   TE     4      21
fc4/32     3      FX     off     up           swl   F      8      --
fc4/33     3      FX     off     up           swl   F      8      --
fc4/34     1      E      on      trunking     swl   TE     4      21
fc4/35     11     FX     off     up           swl   F      8      --
fc4/36     11     FX     off     up           swl   F      8      --
fc4/37     3      FX     off     up           swl   F      8      --
fc4/38     3      FX     off     up           swl   F      8      --
fc4/39     1      E      on      trunking     swl   TE     4      23
fc4/40     1      E      on      trunking     swl   TE     4      23
fc4/41     11     FX     off     up           swl   F      8      --
fc4/42     11     FX     off     up           swl   F      8      --
fc4/43     1      E      on      trunking     swl   TE     4      23
fc4/44     3      FX     off     up           swl   F      8      --
fc4/45     3      FX     off     up           swl   F      8      --
fc4/46     1      E      on      trunking     swl   TE     4      23
fc4/47     11     FX     off     up           swl   F      8      --
fc4/48     11     FX     off     up           swl   F      8      --
fc9/1      3      FX     on      notConnected swl    --    --     --
fc9/2      11     FX     off     up           swl   F      8      --
fc9/3      11     FX     off     up           swl   F      8      --
fc9/4      3      FX     off     up           swl   F      8      --
fc9/5      11     FX     off     up           swl   F      8      --
fc9/6      11     FX     off     up           swl   F      8      --
fc9/7      3      FX     on      notConnected swl    --    --     --
fc9/8      11     FX     off     up           swl   F      8      --
fc9/9      11     FX     off     up           swl   F      8      --
fc9/10     3      FX     off     up           swl   F      8      --
fc9/11     11     FX     off     up           swl   F      8      --
fc9/12     3      FX     off     up           swl   F      8      --
fc9/13     1      FX     on      down         swl    --    --     --
fc9/14     11     FX     off     up           swl   F      8      --
fc9/15     11     FX     off     up           swl   F      8      --
fc9/16     11     FX     off     up           swl   F      8      --
fc9/17     11     FX     off     up           swl   F      8      --
fc9/18     11     FX     off     up           swl   F      8      --
fc9/19     11     FX     off     up           swl   F      8      --
fc9/20     11     FX     off     up           swl   F      8      --
fc9/21     11     FX     off     up           swl   F      8      --
fc9/22     11     FX     off     up           swl   F      8      --
fc9/23     11     FX     off     up           swl   F      8      --
fc9/24     11     FX     off     up           swl   F      8      --
fc9/25     11     FX     off     up           swl   F      8      --
fc9/26     11     FX     off     up           swl   F      8      --
